,regressor,r2,mse,RV
0,cart,0.07507745159482575,114.94871716962533,RV30
1,ols,0.21431039123851034,97.2287637933718,RV30
2,rforest,0.2902171229577151,93.63785435587042,RV30
3,gboost,0.2503701924563291,95.63899082117793,RV30
4,XGBoost,0.12135348540925528,118.28245793123702,RV30
5,LGBoost,0.25466347242439114,97.86909541025672,RV30
6,ridge,0.2639488703824314,88.92707962039557,RV30
7,Lasso,0.22396479367791078,95.15660800166647,RV30
8,cart,0.6679054758617667,33.774695246225576,RV60
9,ols,0.7654744718713875,26.104695336278343,RV60
10,rforest,0.6905443941020797,36.84320654473367,RV60
11,gboost,0.7499820554826516,30.008758638579547,RV60
12,XGBoost,0.7221364565458076,34.547532764386226,RV60
13,LGBoost,0.6836306128950209,39.42859485585056,RV60
14,ridge,0.7899750219845225,22.36271015808463,RV60
15,Lasso,0.7709781910697744,25.12120527321865,RV60
16,cart,0.4150579956628905,99.00352989430897,RV90
17,ols,0.6354131727200276,62.4575818636712,RV90
18,rforest,0.521858903946723,73.04162630719804,RV90
19,gboost,0.5999950711510031,68.85066142853468,RV90
20,XGBoost,0.26290714659311215,132.03967963401226,RV90
21,LGBoost,0.6015198102660423,65.6671150414722,RV90
22,ridge,0.7390398558717134,45.44118341160205,RV90
23,Lasso,0.6498594641150321,60.90823551748315,RV90
