,,coef,std err,t,P>|t|,[0.025,0.975]
1,AvgSKEW,    0.2414,    0.009,   27.756, 0.000,    0.224,    0.259
1,RV30,    0.9473,    0.021,   45.147, 0.000,    0.906,    0.989
1,RV60,    0.9270,    0.023,   40.062, 0.000,    0.881,    0.973
1,RV90,    0.8551,    0.029,   29.835, 0.000,    0.798,    0.912
1,RP30,   -1.1262,    0.404,   -2.788, 0.006,   -1.924,   -0.328
1,RP60,   -0.4578,    0.395,   -1.159, 0.248,   -1.238,    0.322
1,RP90,    0.0921,    0.254,    0.363, 0.717,   -0.409,    0.593
1,ATM30,    0.9289,    0.017,   54.261, 0.000,    0.895,    0.963
1,ATM60,    0.9446,    0.018,   52.269, 0.000,    0.909,    0.980
1,ATM90,    0.9551,    0.019,   49.975, 0.000,    0.917,    0.993
1,ATM180,    0.9902,    0.022,   45.169, 0.000,    0.947,    1.034
1,ATM270,    1.0360,    0.024,   42.402, 0.000,    0.988,    1.084
1,ATM360,    1.0831,    0.027,   39.758, 0.000,    1.029,    1.137
1,brent,    0.3414,    0.020,   17.480, 0.000,    0.303,    0.380
1,CO1,    0.3392,    0.020,   17.124, 0.000,    0.300,    0.378
1,CO3,    0.3426,    0.020,   17.427, 0.000,    0.304,    0.381
1,CO6,    0.3465,    0.019,   17.811, 0.000,    0.308,    0.385
1,RR_30,   -5.4627,    0.442,  -12.352, 0.000,   -6.336,   -4.589
1,RR_60,   -5.3892,    0.389,  -13.849, 0.000,   -6.158,   -4.621
1,RR_90,   -5.3443,    0.350,  -15.285, 0.000,   -6.035,   -4.654
1,RR_180,   -4.4025,    0.324,  -13.598, 0.000,   -5.042,   -3.763
1,CO31,    2.1848,    1.850,    1.181, 0.239,   -1.469,    5.839
1,CO63,    2.5429,    1.569,    1.621, 0.107,   -0.556,    5.642
1,CO61,    1.2273,    0.857,    1.432, 0.154,   -0.466,    2.921
1,logret,   -0.1285,    0.306,   -0.420, 0.675,   -0.733,    0.476
